season_name,date_start,date_end,ObjectId
Winter 2012,2011/12/31 05:00:00+00,2012/03/23 04:00:00+00,1
Spring 2012,2012/03/24 04:00:00+00,2012/06/29 04:00:00+00,2
Summer 2012,2012/06/30 04:00:00+00,2012/08/31 04:00:00+00,3
Fall 2012,2012/09/01 04:00:00+00,2012/12/28 05:00:00+00,4
Winter 2013,2012/12/29 05:00:00+00,2013/03/22 04:00:00+00,5
Spring 2013,2013/03/23 04:00:00+00,2013/06/21 04:00:00+00,6
Summer 2013,2013/06/22 04:00:00+00,2013/08/30 04:00:00+00,7
Fall 2013,2013/08/31 04:00:00+00,2013/12/27 05:00:00+00,8
Winter 2014,2013/12/28 05:00:00+00,2014/03/21 04:00:00+00,9
Spring 2014,2014/03/22 04:00:00+00,2014/06/20 04:00:00+00,10
Summer 2014,2014/06/21 04:00:00+00,2014/08/29 04:00:00+00,11
Fall 2014,2014/08/30 04:00:00+00,2014/12/26 05:00:00+00,12
Winter 2015,2014/12/27 05:00:00+00,2015/03/20 04:00:00+00,13
Spring 2015,2015/03/21 04:00:00+00,2015/06/19 04:00:00+00,14
Summer 2015,2015/06/20 04:00:00+00,2015/09/04 04:00:00+00,15
Fall 2015,2015/09/05 04:00:00+00,2015/12/25 05:00:00+00,16
Winter 2016,2015/12/26 05:00:00+00,2016/03/18 04:00:00+00,17
Spring 2016,2016/03/19 04:00:00+00,2016/06/24 04:00:00+00,18
Summer 2016,2016/06/25 04:00:00+00,2016/09/02 04:00:00+00,19
Fall 2016,2016/09/03 04:00:00+00,2016/12/30 05:00:00+00,20
Winter 2017,2016/12/31 05:00:00+00,2017/03/24 04:00:00+00,21
Spring 2017,2017/03/25 04:00:00+00,2017/06/23 04:00:00+00,22
Summer 2017,2017/06/24 04:00:00+00,2017/09/02 04:00:00+00,23
Fall 2017,2017/09/03 04:00:00+00,2017/12/30 05:00:00+00,24
Winter 2018,2017/12/31 05:00:00+00,2018/03/31 04:00:00+00,25
Spring 2018,2018/04/01 04:00:00+00,2018/06/23 04:00:00+00,26
Summer 2018,2018/06/24 04:00:00+00,2018/09/01 04:00:00+00,27
Fall 2018,2018/09/02 04:00:00+00,2018/12/22 05:00:00+00,28
Winter 2019,2018/12/23 05:00:00+00,2019/03/16 04:00:00+00,29
Spring 2019,2019/03/17 04:00:00+00,2019/06/22 04:00:00+00,30
Summer 2019,2019/06/23 04:00:00+00,2019/08/31 04:00:00+00,31
Fall 2019,2019/09/01 04:00:00+00,2019/12/21 05:00:00+00,32
Winter 2020,2019/12/22 05:00:00+00,2020/03/14 04:00:00+00,33
Spring 2020,2020/03/15 04:00:00+00,2020/06/20 04:00:00+00,34
Summer 2020,2020/06/21 04:00:00+00,2020/08/29 04:00:00+00,35
Fall 2020,2020/08/30 04:00:00+00,2020/12/19 05:00:00+00,36
Winter 2021,2020/12/20 05:00:00+00,2021/03/13 05:00:00+00,37
Spring 2021,2021/03/14 05:00:00+00,2021/06/19 04:00:00+00,38
Summer 2021,2021/06/20 04:00:00+00,2021/08/28 04:00:00+00,39
Fall 2021,2021/08/29 04:00:00+00,2021/12/18 05:00:00+00,40
Winter 2022,2021/12/19 05:00:00+00,2022/03/12 05:00:00+00,41
Spring 2022,2022/03/13 05:00:00+00,2022/06/18 04:00:00+00,42
Summer 2022,2022/06/19 04:00:00+00,2022/08/27 04:00:00+00,43
Fall 2022,2022/08/28 04:00:00+00,2022/12/17 05:00:00+00,44
Winter 2023,2022/12/18 05:00:00+00,2023/03/11 05:00:00+00,45
Spring 2023,2023/03/12 05:00:00+00,2023/07/01 04:00:00+00,46
Summer 2023,2023/07/02 04:00:00+00,2023/08/26 04:00:00+00,47
Fall 2023,2023/08/27 04:00:00+00,2023/12/16 05:00:00+00,48
Winter 2024,2023/12/17 05:00:00+00,2024/04/06 04:00:00+00,49
Spring 2024,2024/04/07 04:00:00+00,2024/06/15 04:00:00+00,50
Summer 2024,2024/06/16 04:00:00+00,2024/08/25 04:00:00+00,51
Fall 2024,2024/08/26 04:00:00+00,2024/12/14 05:00:00+00,52
